Sn.No,Diary Phase,HH ID,Were you able to get in contact with the customer? ,3. What fuel was used?,3. What fuel was used?/Electricity,3. What fuel was used?/LPG,3. What fuel was used?/Kerosene,3. What fuel was used?/Charcoal,3. What fuel was used?/Firewood,3. What fuel was used?/Other,Please specify:,"4. What time did you start with any cooking activities? (lighting a fire, chopping vetables)",How much LPG was there before cooking (kg)?,How much kerosene was there before cooking (Litre)?,How much charcoal was there before cooking (kg)?,How much firewood was there before cooking (kg)?,How much other fuel was there before cooking (kg)?,How much LPG was there after cooking (kg)?,How much kerosene was there after cooking (Litre)?,How much charcoal was there after cooking (kg)?,How much firewood was there after cooking (kg)?,How much other fuel was there after cooking (kg)?,How long did it take to start the CHARCOAL fire? (mins),How long did it take to start the WOOD fire? (mins),Was any Charcoal saved for later?,Was any Firewood saved for later?,7. Gender of the cook:,8. Reason for cooking,8. Reason for cooking/Breakfast,8. Reason for cooking/Lunch,8. Reason for cooking/Supper,8. Reason for cooking/Snack,8. Reason for cooking/Food for baby,8. Reason for cooking/Water heating,8. Reason for cooking/Other,Please specify:,How many people were catered for?,9. Adults:,10. Children:,11. Did any food not require cooking?,Please specify:,12. How many dishes were cooked?,13. How many times was water heated?,1a) Which dish was prepared?,Please specify:,1b) What was used?,Please specify:,1c) What was used?,1c) What was used?/Sufuria big,1c) What was used?/Sufuria medium,1c) What was used?/Sufuria small,1c) What was used?/Frying pan,1c) What was used?/Kettle,1c) What was used?/Other,Please specify:,1e) Was a lid used?,1f) Fresh or reheated?,1g) Saving for later?,What time did you start cooking dish 1?,What was the meter reading before cooking?,What time did you finish cooking dish 1?,What was the meter reading after cooking?,2a) Which dish was prepared?,Please specify:,2b) What was used?,Please specify:,2c) What was used?,2c) What was used?/Sufuria big,2c) What was used?/Sufuria medium,2c) What was used?/Sufuria small,2c) What was used?/Frying pan,2c) What was used?/Kettle,2c) What was used?/Other,Please specify:,2e) Was a lid used?,2f) Fresh or reheated?,2g) Saving for later?,What time did you start cooking dish 2?,What was the meter reading before cooking?,What time did you finish cooking dish 2?,What was the meter reading after cooking?,3a) Which dish was prepared?,Please specify:,3b) What was used?,Please specify:,3c) What was used?,3c) What was used?/Sufuria big,3c) What was used?/Sufuria medium,3c) What was used?/Sufuria small,3c) What was used?/Frying pan,3c) What was used?/Kettle,3c) What was used?/Other,Please specify:,3e) Was a lid used?,3f) Fresh or reheated?,3g) Saving for later?,What time did you start cooking dish 3?,What was the meter reading before cooking?,What time did you finish cooking dish 3?,What was the meter reading after cooking?,4a) Which dish was prepared?,Please specify:,4b) What was used?,Please specify:,4c) What was used?,4c) What was used?/Sufuria big,4c) What was used?/Sufuria medium,4c) What was used?/Sufuria small,4c) What was used?/Frying pan,4c) What was used?/Kettle,4c) What was used?/Other,Please specify:,4e) Was a lid used?,4f) Fresh or reheated?,4g) Saving for later?,What time did you start cooking dish 4?,What was the meter reading before cooking?,What time did you finish cooking dish 4?,What was the meter reading after cooking?,5a) Which dish was prepared?,Please specify:,5b) What was used?,Please specify:,5c) What was used?,5c) What was used?/Sufuria big,5c) What was used?/Sufuria medium,5c) What was used?/Sufuria small,5c) What was used?/Frying pan,5c) What was used?/Kettle,5c) What was used?/Other,Please specify:,5e) Was a lid used?,5f) Fresh or reheated?,5g) Saving for later?,What time did you start cooking dish 5?,What was the meter reading before cooking?,What time did you finish cooking dish 5?,What was the meter reading after cooking?,6a) Why was the water heated?,Please specify:,6b) What was used?,Please specify:,6c) What was used?,6c) What was used?/Sufuria big,6c) What was used?/Sufuria medium,6c) What was used?/Sufuria small,6c) What was used?/Frying pan,6c) What was used?/Kettle,6c) What was used?/Other,Please specify:,6d) Was a lid used?,6e) How cold was the water/milk before heating?,6f) Saving for later (thermos)?,What time did you start heating the water 1?,What was the meter reading before cooking?,What time did you finish heating the water 1?,What was the meter reading after cooking?,7a) Why was the water heated?,Please specify:,7b) What was used?,Please specify:,7c) What was used?,7c) What was used?/Sufuria big,7c) What was used?/Sufuria medium,7c) What was used?/Sufuria small,7c) What was used?/Frying pan,7c) What was used?/Kettle,7c) What was used?/Other,Please specify:,7d) Was a lid used?,7e) How cold was the water/milk before heating?,7f) Saving for later (thermos)?,What time did you start heating the water 2?,What was the meter reading before cooking?,What time did you finish heating the water 2?,What was the meter reading after cooking?,What time did you finish all the cooking activities for the meal?,,,,,,,
2444,Intensive - 2 Wks,755859645,Yes,Charcoal,0,0,0,1,0,0,,08:00:00.000+03:00,,,3,,,,,1,,,5,,No,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,2,No,,3,2,Sweet potatoes/cassava/taro root,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,13:20:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:30:00.000+03:00,,21:00:00.000+03:00,,Other,Ground nuts,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,21:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,08:00:00.000+03:00,,08:30:00.000+03:00,,Drinking/purifying,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,21:00:00.000+03:00,,22:00:00.000+03:00,,22:00:00.000+03:00,,,,,,,
2445,Intensive - 2 Wks,755859645,Yes,Electricity Charcoal,1,0,0,1,0,0,,08:00:00.000+03:00,,,4,,,,,2,,,5,,Yes,,Female,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,Yes,Bread,4,2,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,13:00:00.000+03:00,,Leafy veg,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,13:00:00.000+03:00,,13:20:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:40:00.000+03:00,,21:00:00.000+03:00,,Fried fish,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,20:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,08:00:00.000+03:00,,08:30:00.000+03:00,,Drinking/purifying,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,21:00:00.000+03:00,,22:00:00.000+03:00,,22:00:00.000+03:00,,,,,,,
2446,Intensive - 2 Wks,755859645,Yes,Electricity Charcoal,1,0,0,1,0,0,,08:00:00.000+03:00,,,3,,,,,1,,,5,,No,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,2,Yes,Bread,5,2,Porridge,,Electric pressure cooker,,,,,,,,,,,Fresh,None,08:00:00.000+03:00,12,08:20:00.000+03:00,12.1,Beans,,Electric pressure cooker,,,,,,,,,,,Fresh,None,12:00:00.000+03:00,12.1,12:35:00.000+03:00,12.2,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,13:00:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,21:00:00.000+03:00,,Pasta,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,20:30:00.000+03:00,,Drinking/purifying,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,All,21:00:00.000+03:00,,22:00:00.000+03:00,,Bathing,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,15:00:00.000+03:00,,16:00:00.000+03:00,,21:00:00.000+03:00,,,,,,,
2447,Intensive - 2 Wks,755859645,Yes,Electricity Charcoal,1,0,0,1,0,0,,08:00:00.000+03:00,,,4,,,,,2,,,5,,No,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,2,Yes,Chapati,4,2,Porridge,,Electric pressure cooker,,,,,,,,,,,Fresh,None,08:00:00.000+03:00,10,08:30:00.000+03:00,10.1,Beans,,Electric pressure cooker,,,,,,,,,,,Fresh,None,12:30:00.000+03:00,10.2,13:15:00.000+03:00,10.7,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,13:00:00.000+03:00,,Fried potatoes,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,20:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,18:40:00.000+03:00,,19:20:00.000+03:00,,Drinking/purifying,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,All,21:00:00.000+03:00,,22:00:00.000+03:00,,22:00:00.000+03:00,,,,,,,
2448,Intensive - 2 Wks,755859645,Yes,Charcoal,0,0,0,1,0,0,,08:00:00.000+03:00,,,3,,,,,1,,,5,,No,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,2,Yes,Bread,4,2,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,13:00:00.000+03:00,,Leafy veg,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:30:00.000+03:00,,13:00:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:30:00.000+03:00,,21:00:00.000+03:00,,Fried fish,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,19:45:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,08:00:00.000+03:00,,08:30:00.000+03:00,,Drinking/purifying,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,All,21:00:00.000+03:00,,22:00:00.000+03:00,,22:00:00.000+03:00,,,,,,,
2449,Intensive - 2 Wks,755859645,Yes,Charcoal Electricity,1,0,0,1,0,0,,08:00:00.000+03:00,,,4,,,,,2,,,8,,No,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,2,2,Yes,Bread,4,2,Porridge,,Electric pressure cooker,,,,,,,,,,,Fresh,None,08:00:00.000+03:00,8,08:30:00.000+03:00,8.2,Sweet potatoes/cassava/taro root,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,13:00:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:30:00.000+03:00,,21:00:00.000+03:00,,Beef/Goat,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:00:00.000+03:00,,20:20:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Drinking/purifying,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,All,21:00:00.000+03:00,,22:00:00.000+03:00,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,18:00:00.000+03:00,,18:30:00.000+03:00,,22:00:00.000+03:00,,,,,,,
2450,Intensive - 2 Wks,756853472,Yes,Charcoal,0,0,0,1,0,0,,08:17:00.000+03:00,,,20,,,,,10,,,10,,,,Female,Breakfast Lunch Supper,1,1,1,0,0,0,0,,,4,4,No,,3,1,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:39:00.000+03:00,,13:39:00.000+03:00,,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:11:00.000+03:00,,13:34:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:12:00.000+03:00,,19:06:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,Some,09:13:00.000+03:00,,09:50:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:14:00.000+03:00,,,,,,,
2451,Intensive - 2 Wks,756853472,Yes,Charcoal,0,0,0,1,0,0,,07:44:00.000+03:00,,,14,,,,,8,,,9,,No,,Female,Breakfast Lunch,1,1,0,0,0,0,0,,,3,4,No,,2,1,Other,Irish ,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,13:35:00.000+03:00,,14:09:00.000+03:00,,Other,Macroons ,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:46:00.000+03:00,,20:26:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,Some,08:47:00.000+03:00,,09:20:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:47:00.000+03:00,,,,,,,
2452,Intensive - 2 Wks,756853472,Yes,Charcoal,0,0,0,1,0,0,,09:00:00.000+03:00,,,14,,,,,8,,,9,,,,Female,Breakfast Lunch,1,1,0,0,0,0,0,,,3,4,No,,2,1,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,Leftovers,12:47:00.000+03:00,,13:39:00.000+03:00,,Fish stew (boiled),,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,Leftovers,12:48:00.000+03:00,,13:34:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,Some,09:20:00.000+03:00,,09:40:00.000+03:00,,,,,,,,,,,,,,,,,,,,,14:11:00.000+03:00,,,,,,,
2453,Intensive - 2 Wks,756853472,Yes,Electricity Charcoal,1,0,0,1,0,0,,07:00:00.000+03:00,,,3,,,,,1,,,5,,No,,Female,Lunch Supper Water heating,0,1,1,0,0,1,0,,,2,2,Yes,Bread,4,2,Ugali,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,No,Fresh,None,13:00:00.000+03:00,,13:25:00.000+03:00,,Beans,,Electric pressure cooker,,,,,,,,,,,Fresh,None,12:00:00.000+03:00,12,12:35:00.000+03:00,12.5,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:30:00.000+03:00,,21:00:00.000+03:00,,Other,Groundnuts,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,No,Fresh,None,19:00:00.000+03:00,,20:30:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,07:00:00.000+03:00,,07:25:00.000+03:00,,Other,Cooking food,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,None,12:30:00.000+03:00,,13:00:00.000+03:00,,21:00:00.000+03:00,,,,,,,
2454,Intensive - 2 Wks,756853472,Yes,Charcoal,0,0,0,1,0,0,,07:01:00.000+03:00,,,3,,,,,1,,,10,,,,Female,Lunch,0,1,0,0,0,0,0,,,2,2,Yes,Bread ,3,1,Beans,,Electric pressure cooker,,,,,,,,,,,Fresh,None,09:00:00.000+03:00,8,09:48:00.000+03:00,8.6,Rice,,Electric pressure cooker,,,,,,,,,,,Fresh,None,12:50:00.000+03:00,7,13:08:00.000+03:00,7.5,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:56:00.000+03:00,,20:56:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,09:02:00.000+03:00,,10:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,10:31:00.000+03:00,,,,,,,
2455,Intensive - 2 Wks,756853472,Yes,Charcoal,0,0,0,1,0,0,,06:45:00.000+03:00,,,4,,,,,1,,,10,,,,Female,Water heating,0,0,0,0,0,1,0,,,3,2,Yes,Bread ,3,1,Porridge,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,07:00:00.000+03:00,,07:50:00.000+03:00,,Rice,,Electric pressure cooker,,,,,,,,,,,Fresh,None,11:00:00.000+03:00,9,11:45:00.000+03:00,9.55,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:58:00.000+03:00,,20:58:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drinking/purifying,,Electric kettle,,,,,,,,,,,Fresh,All,21:00:00.000+03:00,10.5,22:00:00.000+03:00,11.5,,,,,,,,,,,,,,,,,,,,22:09:00.000+03:00,,,,,,,
2456,Intensive - 2 Wks,756853472,Yes,Electricity Charcoal,1,0,0,1,0,0,,06:27:00.000+03:00,,,4,,,,,1,,,15,,,,Female,Breakfast Lunch Water heating Supper,1,1,1,0,0,1,0,,,2,2,Yes,Bread ,4,2,Beans,,Electric pressure cooker,,,,,,,,,,,Fresh,None,09:17:00.000+03:00,10,10:10:00.000+03:00,10.5,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:20:00.000+03:00,,13:26:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:22:00.000+03:00,,21:00:00.000+03:00,,Beef/Goat,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,20:20:00.000+03:00,,10:17:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,Some,06:39:00.000+03:00,,06:59:00.000+03:00,,Drinking/purifying,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,All,10:30:00.000+03:00,,11:00:00.000+03:00,,11:00:00.000+03:00,,,,,,,
2457,Intensive - 2 Wks,756853472,Yes,Electricity Charcoal,1,0,0,1,0,0,,06:05:00.000+03:00,,,4,,,,,2,,,10,,,,Female,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,Yes,Bread,4,1,Fish stew (boiled),,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,10:43:00.000+03:00,,11:42:00.000+03:00,,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:00:00.000+03:00,,13:43:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:44:00.000+03:00,,21:16:00.000+03:00,,Beef/Goat,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,20:07:00.000+03:00,,21:47:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Pressure cooker,,,,,,,,,,Yes,Fresh,Some,06:46:00.000+03:00,10,06:53:00.000+03:00,10.5,,,,,,,,,,,,,,,,,,,,22:02:00.000+03:00,,,,,,,
2458,Intensive - 2 Wks,756853472,Yes,Electricity Charcoal,1,0,0,1,0,0,,06:30:00.000+03:00,,,4,,,,,2,,,15,,,,Female,Breakfast Lunch Supper Water heating,1,1,1,0,0,1,0,,,2,2,Yes,Bread,4,1,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,09:05:00.000+03:00,,12:11:00.000+03:00,,Rice,,Electric pressure cooker,,,,,,,,,,,Fresh,None,12:30:00.000+03:00,15,13:07:00.000+03:00,15.5,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:09:00.000+03:00,,21:09:00.000+03:00,,Beef/Goat,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,19:11:00.000+03:00,,21:30:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Pressure cooker,,,,,,,,,,Yes,Fresh,Some,06:35:00.000+03:00,10,06:45:00.000+03:00,10.5,,,,,,,,,,,,,,,,,,,,22:00:00.000+03:00,,,,,,,
2459,Intensive - 2 Wks,756853472,Yes,Electricity Charcoal,1,0,0,1,0,0,,06:40:00.000+03:00,,,3,,,,,1,,,15,,,,Female,Breakfast Lunch Water heating,1,1,0,0,0,1,0,,,2,2,Yes,Bread,4,1,Beans,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,09:03:00.000+03:00,,13:08:00.000+03:00,,Rice,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,12:05:00.000+03:00,,13:35:00.000+03:00,,Matoke,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,18:08:00.000+03:00,,21:08:00.000+03:00,,Leafy veg,,Charcoal stove,,Sufuria medium,0,1,0,0,0,0,,Yes,Fresh,None,20:09:00.000+03:00,,20:45:00.000+03:00,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Charcoal stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,06:55:00.000+03:00,,07:20:00.000+03:00,,,,,,,,,,,,,,,,,,,,,22:00:00.000+03:00,,,,,,,
2460,Intensive - 2 Wks,758153518,Yes,LPG,0,1,0,0,0,0,,19:30:00.000+03:00,3,,,,,2,,,,,,,,,Female,Supper,0,0,1,0,0,0,0,,,2,1,No,,1,0,Other,Katogo ( matoke mixed with gnuts ),Gas stove,,Sufuria small,0,0,1,0,0,0,,Sometimes,Fresh,None,19:30:00.000+03:00,,20:25:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:25:00.000+03:00,,,,,,,
2461,Intensive - 2 Wks,758153518,Yes,LPG,0,1,0,0,0,0,,19:45:00.000+03:00,3,,,,,2,,,,,,,,,Female,Lunch,0,1,0,0,0,0,0,,,2,1,No,,2,1,Other,Macrons,Gas stove,,Sufuria small,0,0,1,0,0,0,,Sometimes,Fresh,None,19:50:00.000+03:00,,20:35:00.000+03:00,,Other,Eggs,Gas stove,,Frying pan,0,0,0,1,0,0,,No,Fresh,None,20:40:00.000+03:00,,21:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Gas stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,21:05:00.000+03:00,,21:30:00.000+03:00,,,,,,,,,,,,,,,,,,,,,21:30:00.000+03:00,,,,,,,
2462,Intensive - 2 Wks,758153518,Yes,LPG,0,1,0,0,0,0,,19:30:00.000+03:00,3,,,,,2,,,,,,,,,Female,Supper,0,0,1,0,0,0,0,,,2,1,No,,1,1,Other,Eggs ,Gas stove,,Frying pan,0,0,0,1,0,0,,No,Fresh,None,19:35:00.000+03:00,,20:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Gas stove,,Sufuria small,0,0,1,0,0,0,,No,Fresh,None,20:00:00.000+03:00,,20:30:00.000+03:00,,,,,,,,,,,,,,,,,,,,,20:30:00.000+03:00,,,,,,,
2463,Intensive - 2 Wks,758153518,Yes,LPG,0,1,0,0,0,0,,19:30:00.000+03:00,3,,,,,2,,,,,,,,,Female,Supper,0,0,1,0,0,0,0,,,2,1,No,,1,1,Other,Katogo ( matoke mixed with gnuts ),Gas stove,,Sufuria small,0,0,1,0,0,0,,Sometimes,Fresh,None,19:35:00.000+03:00,,20:30:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tea/coffee/cocoa/milk,,Gas stove,,Kettle,0,0,0,0,1,0,,Yes,Fresh,Some,20:30:00.000+03:00,,21:05:00.000+03:00,,,,,,,,,,,,,,,,,,,,,21:05:00.000+03:00,,,,,,,
2464,Intensive - 2 Wks,758153518,Yes,LPG,0,1,0,0,0,0,,19:50:00.000+03:00,3,,,,,2,,,,,,,,,Female,Supper,0,0,1,0,0,0,0,,,2,1,No,,1,0,Other,Irish,Gas stove,,Sufuria small,0,0,1,0,0,0,,Sometimes,Fresh,None,21:55:00.000+03:00,,21:00:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:00:00.000+03:00,,,,,,,
2465,Intensive - 2 Wks,758153518,Yes,LPG,0,1,0,0,0,0,,19:30:00.000+03:00,3,,,,,2,,,,,,,,,Female,Supper,0,0,1,0,0,0,0,,,2,1,No,,1,0,Other,Katogo ( matoke mixed with gnuts ),Gas stove,,Sufuria small,0,0,1,0,0,0,,Sometimes,Fresh,None,19:35:00.000+03:00,,20:40:00.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:40:00.000+03:00,,,,,,,
2466,Intensive - 2 Wks,758153518,Yes,Other,0,0,0,0,0,1,Zero,12:19:00.000+03:00,,,,,2,,,,,1,,,,,Male,Other,0,0,0,0,0,0,1,Zero,,1,0,No,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:25:00.000+03:00,,,,,,,
2467,Intensive - 2 Wks,758153518,Yes,Other,0,0,0,0,0,1,Zero,14:07:00.000+03:00,,,,,2,,,,,1,,,,,Male,Other,0,0,0,0,0,0,1,Zero,,1,0,No,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:08:00.000+03:00,,,,,,,
